,SearchNames,Author,NoPapers
0,AU=AYDIN AYDIN,AYDIN AYDIN,4
1,AU=GILGIL ERDAL,GILGIL ERDAL,5
2,AU=HALAC METIN,HALAC METIN,63
3,AU=YUCE ABDULHAKIM,YUCE ABDULHAKIM,0
4,AU=KIRIS ABDULKADIR,KIRIS ABDULKADIR,54
5,AU=KUCUKBAYRAK ABDULKADIR,KUCUKBAYRAK ABDULKADIR,30
6,AU=YILDIRIM ABDULKADIR,YILDIRIM ABDULKADIR,33
7,AU=CEKIN ABDULKADIR,CEKIN ABDULKADIR,0
8,AU=SENGUN ABDULKADIR,SENGUN ABDULKADIR,13
9,AU=BEDIR ABDULKERIM,BEDIR ABDULKERIM,38
10,AU=AKPINAR ABDULLAH,AKPINAR ABDULLAH,38
11,AU=BAL ABDULLAH,BAL ABDULLAH,26
12,AU=SENGUL ABDULLAH,SENGUL ABDULLAH,3
13,AU=DEMIR ABDULLAH,DEMIR ABDULLAH,54
14,AU=DOGAN ABDULLAH,DOGAN ABDULLAH,112
15,AU=EKIZER ABDULLAH,EKIZER ABDULLAH,13
16,AU=ERDIL ABDULLAH,ERDIL ABDULLAH,5
17,AU=ERGIN ABDULLAH,ERGIN ABDULLAH,3
18,AU=SECKIN ABDULLAH,SECKIN ABDULLAH,1
19,AU=KIRAN ABDULLAH,KIRAN ABDULLAH,0
20,AU=USTUN ABDULLAH,USTUN ABDULLAH,5
21,AU=CINGU ABDULLAH,CINGU ABDULLAH,46
22,AU=AKSOY ABDULLAH,AKSOY ABDULLAH,1
23,AU=TUNCER ABDULLAH,TUNCER ABDULLAH,0
24,AU=MUTLU ABDULLAH,MUTLU ABDULLAH,0
25,AU=KILDAN ABDULLAH,KILDAN ABDULLAH,2
26,AU=POS ABDULLAH,POS ABDULLAH,0
27,AU=SONMEZ ABDULLAH,SONMEZ ABDULLAH,22
28,AU=URAL ABDULLAH,URAL ABDULLAH,1
29,AU=YORDEM ABDULLAH,YORDEM ABDULLAH,0
30,AU=TARIKULU ABDULLAH,TARIKULU ABDULLAH,0
31,AU=CIM ABDULLAH,CIM ABDULLAH,14
32,AU=INALCIK ABDULLAH,INALCIK ABDULLAH,5
33,AU=ASLAN ABDULSELAM,ASLAN ABDULSELAM,8
34,AU=GOK ABDULVAHAP,GOK ABDULVAHAP,10
35,AU=OZTURK ABDURAHMAN,OZTURK ABDURAHMAN,0
